RID,rname,cuisine
341,Junction Pure Veg Fast Food,"Street Food,Chinese"
342,DOSA JUNCTION,South Indian
343,Lal's Fast Food,"Indian,Chinese"
344,The Cake House,Bakery
345,Kanchan Egg Roll,"Chinese,Snacks"
346,PUJA SWEETS BHALUBASA,"Bengali,Sweets"
347,Angaara (Hotel Ganga Regency),"Tandoor,Biryani"
348,The Tinkoniya Restaurant,"Fast Food,Indian"
349,BANARSI PAAN BHANDHAR,Paan
350,Nilesh Litti,"Bihari,North Indian"
351,BRINDAVAN SWEETS,Street Food
352,Pipal,"Indian,Chinese"
353,79 Restro Bar,"Indian,Chinese"
354,U Turn Restaurant,"North Indian,Chinese"
355,Kaveri Bakery,"North Indian,Chinese"
356,The Lajij ( Champaran Meat House ),"North Indian,Chinese"
357,Anandam,"South Indian,North Indian"
358,CHAMPARAN MEAT HOUSE,North Indian
359,Zing,"Italian,Mughlai"
360,7th Heaven Bar and Restaurant,"Chinese,Indian"
361,PARATHA NATION,"Indian,North Indian"
362,The Chinese Monk,Chinese
363,FOODS HUB,"North Indian,Indian"
364,OM SAI RAM MOMOS,"Nepalese,Tibetan"
365,Meera Tiffin Service,"North Indian,Lucknowi"
366,Bakery House,Bakery
367,Meera's Momo,Chinese
368,Roti Mahal 151 Paratha's,"North Indian,Indian"
369,Samosa Gully,Snacks
370,Baking Bond (Sonari),"Bakery,Desserts"
371,LALAJI KA DOSA CAFE & CUISINE,South Indian
372,Grill Inn,"Fast Food,Pizzas"
373,Mithila Sweets and Bakery,"Sweets,Snacks"
374,MADFEAST,"Chinese,Indian"
375,Momo's Villa,"Chinese,Desserts"
376,Anurag Fast Food Centre,"Chinese,Fast Food"
377,Crush!!,Fast Food
378,GRAPES GEL HOMEMADE BAKERY.,Bakery
379,Shri Hira Sweets,"Sweets,Snacks"
380,KHALSA HOTEL,"Indian,North Indian"
381,Green Burst,"North Indian,Biryani"
382,The Basement,"Indian,Tandoor"
383,Yummy Khichdi,"Indian,Bengali"
384,QUEST REGENCY,"Indian,Biryani"
385,HOTEL THE AVENUE,"Chinese,Indian"
386,PUJA SWEETS  MANGO,Sweets
387,Chakh-Naa,Chinese
388,The Satkar Hotel,"Indian,Chinese"
389,Royal Max Bakery,Bakery
390,Hideaway cafe,Salads
391,Reena's Kitchen,Chinese
392,Priya Chinese Fast Food,Chinese
393,SHER - E- PUNJAB,"Chinese,North Indian"
394,The Asian Wok,"Chinese,Biryani"
395,SCRATCH,"Chinese,Continental"
396,Up 'n' above,"Indian,Chinese"
397,Indian-chinese  corner,"North Indian,Chinese"
398,Oregano,Snacks
399,Banjara,"Continental,Indian"
400,PURVI'S KITCHEN,"Chinese,Snacks"
401,Sri Ganesh Momo,"Street Food,Chinese"
402,DHARMADAS,"Chinese,Snacks"
403,Saraswati sweets and kitchen,"Indian,South Indian"
404,Golmuri Mistan Bhandar,"Sweets,Snacks"
405,THE SPICY KITCHEN,"Chinese,Indian"
406,The South Indian Dish,South Indian
407,Food From Home,"Indian,Thalis"
408,NEW GANGOUR SWEETS (Mango),Sweets
409,The Crickets Cafe,"Indian,Chinese"
410,Delhi Darbar ( Mango ),"Biryani,Tandoor"
411,Balaji Tiffin ( Sunshine Enterprises),South Indian
412,WOW CHINESE FAST FOOD,"Chinese,Fast Food"
413,Waff & Crisp,Beverages
414,HOTEL DS INTERNATIONAL,"North Indian,Chinese"
415,Hungry Kya,"Biryani,North Indian"
416,Pure Veg Rasoi,Snacks
417,BLUE CUP CAKE,Chinese
418,Kebab Factory,"Tandoor,Indian"
419,Dawat,"Chinese,North Indian"
420,Tube Makers Club,"Biryani,Chinese"
421,THE CHINESE POINT,Chinese
422,Exotica Candela,"Desserts,Ice Cream"
423,Party Buffet,"Indian,Beverages"
424,BARN N BARBECUE.,"Chinese,Snacks"
425,Uncle Tiffin,Indian
426,Brunch Italino (Mango),"Bakery,Snacks"
427,FRANKY'S MOMOS,"Chinese,Nepalese"
428,MOM'S FOOD FACTORY.,"Indian,Desserts"
429,Aman Momos,"Nepalese,Tibetan"
430,THE CHILLI HUT,Chinese
431,PIZZA CAFE,"Pizzas,Snacks"
432,PUJA SWEETS  TINPLATE,"Sweets,Desserts"
433,FOOD POINT,"Chinese,Pastas"
434,Biryani adda,"Indian,Chinese"
435,Kathination,Indian
436,DEV RAJ HOTEL,North Indian
437,Annapurna New Suruchi Hotel,"Indian,South Indian"
438,The Altira Hotel,"Chinese,North Indian"
439,FOOD CORNER,"Chaat,Snacks"
440,Spicy Kitchen,"South Indian,Chinese"
441,Belgium Bakers,"Bakery,Pizzas"
442,Green Chilli,"Chinese,North Indian"
443,AMARANTA,"North Indian,Chinese"
444,KKFC,Italian
445,Lassi Shop,"Desserts,Ice Cream"
446,Deepthi Pure Veg  family restaurant,"South Indian,North Indian"
447,S Usha Star Restaurant,Biryani
448,Shawarma king,"Arabian,Lebanese"
449,Arya Hotel,"North Indian,Chinese"
450,Pizza House,"Pizzas,Fast Food"
451,Friends Restaurant,"North Indian,Chinese"
452,Chai Adda,Beverages
453,Deepthi Veg and nonveg Restaurant,"South Indian,North Indian"
454,Chinese Food Court,Chinese
455,Milatary Hotel,Biryani
456,Rainbow Restaurant,"Biryani,North Indian"
457,ROTI WALA,"Biryani,Healthy Food"
458,Spicy Hut Restaurant,"Indian,North Indian"
459,Gokul Chats,"Chinese,Chaat"
460,Spicy Hut Parcel Point,North Indian
461,SREE TULAJA BHAVANI RESTAURANT,Indian
462,The hungry Restaurant,"Indian,Afghani"
463,Delight Home,Sweets
464,Lucky Shawarma,Snacks
465,Ma Palle Ruchulu,South Indian
466,Kumbakarna Biryani House,"Biryani,South Indian"
467,Only Kabab's,"Kebabs,Chinese"
468,Biryani's' N' More,Biryani
469,chinese food world,"Asian,Chinese"
470,Zaatar Restaurant,Biryani
471,Masala Bowl Multicusine Restaurant,Biryani
472,Nakshtra pure veg Restaurant,"Indian,Chinese"
473,Arabian Food Court,Biryani
474,King Kabab Point,Chinese
475,Hotel Madhavi,South Indian
476,Taj Arabian Restaurant,"Indian,Chinese"
477,SLV cake house,Desserts
478,Tea Time,"Beverages,Snacks"
479,Five Star Chicken,"Snacks,American"
480,Lassi Spot,Ice Cream
481,Gujrat Hotel and Restaurant,Indian
482,Daya Hari Chatpata,"North Indian,Chinese"
483,KFC,"American,Snacks"
484,Taste Buds,"North Indian,Chinese"
485,Sherowali Bhoj- Non Veg Hotel & Restaurant,"Indian,Chinese"
486,Sherowali Restaurant and Fast Foods,"North Indian,Bakery"
487,Govardhan,Fast Food
488,Daya Hari Mithai,"Indian,Chinese"
489,Devi Fast Food,"North Indian,Chinese"
490,Lets Dimsum,"Indian,Chinese"
491,Swasti Niramish Hotel,Indian
492,Gopal Mistanna Bhandar,Desserts
493,Momos N More,"Chinese,Asian"
494,Trinayani,Indian
495,UK Pizza Hut,"American,Pizzas"
496,Delicious Fast Food And Tiffin Hub,North Indian
497,Shyamasree Restaurant,North Indian
498,NATIONAL FAST FOOD,"Chinese,North Indian"
499,Heritage,North Indian
500,0 Dergee Celcius,"Desserts,Pizzas"
501,Radhe Bol,"South Indian,North Indian"
502,Cholo Khai,"Fast Food,Chinese"
503,MANTU BIRYANI,"Biryani,Indian"
504,New Ashoka Restaurant,North Indian
505,Abhishek Hotel and Restaurant,"North Indian,Chinese"
506,Frespresso,North Indian
507,Mrs. Banyan Resturant,Indian
508,Eatopia Zannat,"Indian,Chinese"
509,Cake plaza,Bakery
510,Sherowali Sweets,"Sweets,Desserts"
511,Aroma,"Chinese,Indian"
512,HOTEL NIRAMISH BHOJANALAY,"Indian,Snacks"
513,MATKAWALA,"Indian,Chinese"
514,INSTAMOMO,Chinese
515,Hungrilla,"North Indian,Chinese"
516,Chatpata Cake Corner,Bakery
517,Tiffins (From Hungrilla),Fast Food
518,OFUI HOTEL & RESTAURANT,Indian
519,Delicious Fast Food,Indian
520,Momo Magic Cafe,"Chinese,North Indian"
521,POUSHALI FAST FOOD CENTRE,"Biryani,North Indian"
522,Swapna Fast Food Center,Indian
523,Rupar Tori Hotel & Restaurant,Indian
524,Hotel Woodland Park,"North Indian,Chinese"
525,Smoke N Spice,"Chinese,Indian"
526,TAJ_An Exclusive Veg Restaurent,North Indian
527,Sherowali Snacks and Bakery,"Bakery,Snacks"
528,KHATTA MEETHA,"Chinese,North Indian"
529,Wow Shawarma,Fast Food
530,Hapieee Box,"Fast Food,Snacks"
531,TARA BIRIYANI,"Biryani,Indian"
532,The Roll Hut,"Chinese,North Indian"
533,Hotel Rimi International,"Indian,Continental"
534,Bawarchi Kolkata,"Indian,Chinese"
535,Pizza'ria,Continental
536,Litttle Chef Agartala,"North Indian,Chinese"
537,Hot Box,"Chinese,Snacks"
538,Mums Kitchen,North Indian
539,Bollywood Retro-A music and food hub,"Snacks,Tandoor"
540,The Fat Chicken,North Indian
541,Fresh Bite,"Indian,Chinese"
542,ME N MOMO,"Indian,Asian"
543,Ambar restaurant,"Thalis,Indian"
544,BeyondBytes,"Bakery,Snacks"
545,TAIPO,"Chinese,Indian"
546,Cafe Coffee Day,"Beverages,Snacks"
547,Kurry Klub,"Indian,Chinese"
548,The Hungry Port,North Indian
549,DEJA VU,"Chinese,Indian"
550,Barbie Food Stall,North Indian
551,INDIAN CAKES & NUTS,"Indian,Bakery"
552,Ritwika's Food Fresto,North Indian
553,Hotel new bilas,Indian
554,Punjab grill,"Indian,North Indian"
555,Babuana,"Indian,Chinese"
556,Hungrilla (Homely),"Bengali,Thalis"
557,Mukhorochak,"Bengali,Indian"
558,MADHUR KHABAR,Chinese
559,Devi- Family Fast Food Center,"Indian,Chinese"
560,Tiffin box,"Indian,Chinese"
561,Snacks & Chakhna- Hot and Fast,"Snacks,Chinese"
562,Balaji Sweets and Veg Restaurant,North Indian
563,RANNAGHAR,"Indian,Chinese"
564,Angaara Bhatti,"Biryani,Indian"
565,Smile Momo,Chinese
