RID,rname,cuisine
7634,Bombay Cafe,"Fast Food,Chinese"
7635,UBQ by Barbeque Nation,"North Indian,Barbecue"
7636,Jay Maharashtra Puran Poli V Paratha House,"Chinese,Indian"
7637,Monginis - Kamgar Chowk,"Bakery,Desserts"
7638,Hotel Laadli Veg Restaurant,"North Indian,South Indian"
7639,Keventers - Milkshakes and Desserts,"Beverages,Ice Cream"
7640,Angeethi Restaurant,"North Indian,Punjabi"
7641,McDonald's,"Burgers,Beverages"
7642,Kareems Kabab & Biryani,"Mughlai,Biryani"
7643,Barbeque Nation,"North Indian,Barbecue"
7644,Kakaji`s Veg Restaurant,"Rajasthani,Punjabi"
7645,Trupti Fast Food,"North Indian,Chinese"
7646,Oven Story Pizza,"Pizzas,Italian"
7647,Falahaar,"Chinese,Italian"
7648,Amigos Kitchen,"Biryani,North Indian"
7649,Mad over Chicken,"Barbecue,Snacks"
7650,Kekiz The Cake Shop,"Bakery,Desserts"
7651,Dashmesh Restaurant,"North Indian,Punjabi"
7652,Biryani By Kilo,"Biryani,Mughlai"
7653,TARTE RESTAURANT,Biryani
7654,OM TULSI RESTAURANT,"Biryani,Thalis"
7655,LunchBox - Meals and Thalis,"North Indian,Punjabi"
7656,Indiana Cake Boutique,"Bakery,Fast Food"
7657,Hotel Jalgaon Bharit Centre,North Indian
7658,Little lebanon,"Lebanese,Arabian"
7659,Hotel Atithi's Roof Top Restaurant,"North Indian,Chinese"
7660,Dom's Pizza,"Indian,Pizzas"
7661,Indiana Pizza studio,"American,Pizzas"
7662,Cultivogreens,"Salads,Healthy Food"
7663,Pizza Pan,"Pizzas,Fast Food"
7664,Hotel Palkhi Veg Restaurant,"Chinese,Maharashtrian"
7665,Sweet Truth,"Bakery,Desserts"
7666,Pizzas Studio,"American,Pizzas"
7667,Gaurav Maratha,"North Indian,Punjabi"
7668,Al Laziz Pizza & Momos,"Pizzas,Lebanese"
7669,Cafe Coffee Day,"Beverages,Snacks"
7670,Pure Veg Meals by Lunchbox,"North Indian,Desserts"
7671,Wrap N Grills,Pizzas
7672,TRUPTI VEG RESTAURANT,"North Indian,South Indian"
7673,King's Momos,"Italian,Fast Food"
7674,Momos King,"Italian,Fast Food"
7675,Cakey Bakey,Bakery
7676,Bombay Pizzza Wala,"Italian,Fast Food"
7677,Ovenstory Pizzeria Burgur,"Italian,Fast Food"
7678,OM TULSI PURE VEG RESTAURANT,"Biryani,Thalis"
7679,Assal Gaonkari,Maharashtrian
7680,Huzi Pizzeria,"Pizzas,Fast Food"
7681,Indiana Exotica,"Bakery,Italian"
7682,The Good Bowl,"North Indian,Punjabi"
7683,Dawat E Lucknow,"Chinese,Continental"
7684,Pizza Villa,"American,Pizzas"
7685,Mannu Fish Restaurant,Seafood
7686,Green Hut Express,"American,Pizzas"
7687,SP's DUM BIRYANI,"Biryani,Kebabs"
7688,Annapurna's 540 West Rest'O'Bar,"North Indian,Chinese"
7689,Oregano Pizaa's,"Pizzas,American"
7690,SHALIMAR PIZZA,Pizzas
7691,Thikmilk & More,"Pizzas,Fast Food"
7692,Panditji Ki Biryani,Indian
7693,Spicy Hot Momos,Chinese
7694,Laziz Momo's,"Pizzas,Chinese"
7695,Rock N Momos,"Snacks,Pizzas"
7696,Bob Burger,"Pizzas,Fast Food"
7697,Pizzas Story,"Italian,Fast Food"
7698,Pizza Caprina,"Italian,Fast Food"
7699,Yalla Yalla (Gajanan Mandir Road),"Chinese,Indian"
7700,Burger Max,"Pizzas,Chinese"
7701,The Raat Cafe,"Fast Food,Snacks"
7702,Tupe's Veg-Non veg,"Indian,Biryani"
7703,Sai Chinese Fast Food,North Indian
7704,Al Zaika Pizza & Sandwich,"American,Pizzas"
7705,Smoking Joy's Pizza,Pizzas
7706,The Night Cafe,"Pizzas,Snacks"
7707,Arabian Shawarma & More,"Pizzas,Fast Food"
7708,Mokoholics Pizzas,"American,Pizzas"
7709,MoJo Pizza and Burger,"American,Pizzas"
7710,Kareem Pizzeria,"Italian,Fast Food"
7711,Cafe Green,"Cafe,Pizzas"
7712,Cafe Creative,"Pizzas,Fast Food"
7713,King of Shawarma,"Pizzas,Fast Food"
7714,Shawarma & More,"Pizzas,Snacks"
7715,Prince Shawarma,"Pizzas,Fast Food"
7716,Thikmilk Cafe,"Pizzas,Fast Food"
7717,Hite Cafe,"Italian,Chinese"
7718,Pizza Express,"Pizzas,Fast Food"
7719,Shawarma Cafe,"Pizzas,Fast Food"
7720,pizza studio,"American,Pizzas"
7721,SUBWICH BURGER,"American,Pizzas"
7722,Maggie Magic,"American,Pizzas"
7723,MH 20 Burger,"American,Pizzas"
7724,Pizza Heart's,"American,Pizzas"
7725,Green Olive Pizza,"American,Pizzas"
7726,Flavour's Sandwich,"Grill,Chaat"
7727,Green Pizza,"American,Pizzas"
7728,Bombay Pizzawala,Chinese
7729,House of Sandwich,Pizzas
7730,Flavours by WelcomHotel,"Indian,Continental"
7731,Al-Karim Pizzza,"Pizzas,Fast Food"
7732,Sandwich caffe,"Pizzas,Fast Food"
7733,Huzi Pizzaeria,"Pizzas,Fast Food"
7734,House of Shake,"Pizzas,Fast Food"
7735,Pizza Wizza & More,"Italian,Fast Food"
7736,Purani Dehli,Indian
7737,Kareemss Burger,"Italian-American,Fast Food"
7738,Pizaa Express 2.O,"Fast Food,Pizzas"
7739,Pizza Hap,"Pizzas,Fast Food"
7740,Burger Stops,"American,Pizzas"
7741,Cheezy Pizza's,"American,Snacks"
7742,Rudra Food Court,"North Indian,Chinese"
7743,Koyla Dum Biryani & Kabab,"Biryani,North Indian"
7744,Bombay Bistro,"Continental,Pizzas"
7745,Safa pizaa's,"Pizzas,American"
7746,Burger Junction,"Pizzas,American"
7747,Pizza Nation,"Pizzas,American"
7748,Mojo's pizza,"Pizzas,Fast Food"
7749,Pizza Day,"Pizzas,American"
7750,Red chilli pizza,"Pizzas,American"
7751,Barbeque pizaa's,"Pizzas,American"
7752,Veg Bite Pizza's,"Pizzas,Fast Food"
7753,THE PIZZA,American
7754,Patil Mama Vadapav Wale,Snacks
7755,Krishna Chat House,Snacks
7756,Al Baik,"Fast Food,American"
7757,kream n krunch,"North Indian,South Indian"
7758,TARTE FAMILY RESTAURANT,"North Indian,Indian"
7759,Koriander Veg Restaurant,"North Indian,Chinese"
7760,POOJA FAMILY RESTAURANT,"Indian,Chinese"
7761,BALAJI FOOD,"Street Food,Indian"
7762,Hotel Shailesh Bar & Restaurant,"North Indian,Maharashtrian"
7763,Classic Pizza,"Pizzas,Fast Food"
7764,Domino's Pizza,Pizzas
7765,SNT Tahari House,"North Indian,Biryani"
7766,NIC Natural Ice Creams,"Ice Cream,Desserts"
7767,Shri Bherunath Mix Icecream,"Ice Cream,Beverages"
7768,Hotel Rambharose,"South Indian,Indian"
7769,KITCHEN CHATKARA,"Biryani,Thalis"
7770,Koyla Dum Biryanis & Kebabs,Biryani
7771,Sai Panchavati Pav Bhaji and Pulav Center,"Indian,Street Food"
7772,Natural Ice Cream,Ice Cream
7773,Lucky Bhel Center,"Snacks,Chaat"
7774,Gharghuti Kanduri Mutton Handi,North Indian
7775,UDAPI RESTAURANT,"South Indian,Chinese"
7776,DEEPAK'S FAST FOOD,"Fast Food,Pizzas"
7777,Hotel Sai Prasad,"North Indian,Punjabi"
7778,Krishna juice,Beverages
7779,SEEKH PARATHHA,"Kebabs,Snacks"
7780,UDAPI DOSA RESTAURANT,"South Indian,Chinese"
7781,Gurukrupa Fast Food Center,"Chinese,Chaat"
7782,DEEPAK  FOOD,"Biryani,Indian"
7783,Ka Lounge,"North Indian,Continental"
7784,Uttam Mithai Bhandar,"Desserts,Sweets"
7785,Rajdarbar Maratha Hotel (Gadia Vihar),"North Indian,Maharashtrian"
7786,The Cheesy Bond Cafe,Cafe
7787,Golden Quarter - Cidco,"Fast Food,Desserts"
7788,Green Leaf-2,"North Indian,Biryani"
7789,Punjabi Rasoi,North Indian
7790,TIRTH SAI PRASAD PURE VEG RESTAURANT,"Maharashtrian,North Indian"
7791,SAFA RESTAURANT,"North Indian,Indian"
7792,Lokmanya's South Indian Cafe,South Indian
7793,Apsara Ice Creams,"Ice Cream,Desserts"
7794,UMA CHAT BHANDAR.,"Indian,Snacks"
7795,The BRB Cafe,"Beverages,Fast Food"
7796,Hot and cruncy sandwich dabeli ani pijja center,"British,Snacks"
7797,Monginis - TV Center,"Bakery,Desserts"
7798,TARA PAN CENTER,Paan
7799,Rudra Food Chinese,Chinese
7800,BURGER ADDA,"American,Snacks"
7801,Tastation,Fast Food
7802,Yumazing Multi Food Cafe,"Chinese,Continental"
7803,Shree Krishna Foodie Pure Veg,"Indian,Snacks"
7804,McDonald's Gourmet Burger Collection,"Burgers,Beverages"
7805,Pashupatinath Chinese Center,"Chinese,Snacks"
7806,Grameen Kulfi,"Ice Cream,Desserts"
7807,SAI BHEL,"Chinese,Chaat"
7808,BCreamy,"Desserts,Beverages"
7809,All New Donatos Pizza,"Pizzas,Pastas"
7810,Barista,"Beverages,Snacks"
7811,R G MUMBAI CHINESE,Chinese
7812,Farmish Sandwich,North Indian
7813,Mad Over Pizza,"Pizzas,American"
7814,Pocket Friendly Pure Veg,"Indian,Chinese"
7815,TATHASTU RESTAURANT,"Indian,Chinese"
7816,Bombay Chat Bhandar,Chaat
7817,Nahush's Temptation,"Chinese,North Indian"
7818,The Bearded Foodie,"Pizzas,Fast Food"
7819,mumbai chinese,Chinese
7820,Home Made Biryani,"Biryani,Indian"
7821,3Kaal Tiffins LLP,"Desserts,Ice Cream"
7822,GOVIND DARAK,"Fast Food,Italian"
7823,SWEET AND SOUR,"Fast Food,Italian"
7824,PRASADALAY,"North Indian,Indian"
7825,Bang Bang Burger,"Pizzas,Beverages"
7826,Momos Munch,"Chinese,Pizzas"
7827,Palkhi Roof Top Veg Restaurant,"North Indian,Chinese"
7828,Metro Pizza & fast Food,"Pizzas,Beverages"
7829,Mrignayani Restaurant And Bar,"North Indian,Maharashtrian"
7830,McCafe by McDonald's,"American,Beverages"
7831,Shake & Snacks,Pizzas
7832,Shawarma Sultan,"Arabian,Chinese"
7833,Hotel Surya,"North Indian,Chinese"
7834,The Sandwich Box,"Pizzas,Beverages"
7835,Shree Amruttulya,"Snacks,Indian"
7836,Egg Magic,Indian
7837,MAGGIE MAYO,Beverages
7838,Sindh Foods,Indian
7839,THE TURBAN INDIAN CHINESE,"Indian,Chinese"
7840,INDIAN CHINESE FAST FOOD,"Chinese,Biryani"
7841,MILKY WAY,Beverages
7842,National Hydrabadi Dum Biryani,"Biryani,North Indian"
7843,Chitale Xpress,"Sweets,Snacks"
7844,Delhi's Rolls Nation,"Chinese,Snacks"
7845,Golden Dragon Chinese,"Chinese,Asian"
7846,MH 12 Pav Bhaji,"Fast Food,Pizzas"
7847,Baskin Robbins,Ice Cream
7848,Get Inn Veg Restaurant,North Indian
7849,Te Amo Bistro,"Continental,South Indian"
7850,APPAJI'S CHAAT BHANDAR PAANDARIBA ROAD,Chaat
7851,Adil Restaurant & Chinese,"Chinese,Arabian"
7852,KOTHIMBIR CHICKEN BIRYANI,"Chinese,Biryani"
7853,Veg Cake Happy Wala Cake,"Bakery,Desserts"
7854,Tuljai Swaypak Ghar,"North Indian,Maharashtrian"
7855,SOFTY CORNER,"Beverages,Ice Cream"
7856,Cone-N-Cakes,"Chinese,Desserts"
7857,Jagdam Juice Bar,Juices
7858,DARK CHOCOLATE ROOM CAFE,"Cafe,Beverages"
7859,renuka food junction,Beverages
7860,Shree Aayojan's Idli Stop,"Maharashtrian,South Indian"
7861,Istanbul Shawarma And Doner,Snacks
7862,SAWARIYA  PAVBHAJI,"Street Food,Indian"
7863,Khushi Fast Food,"Chinese,Biryani"
7864,SHAILENDRA,"Biryani,Thalis"
7865,JIJA FOODS PARATHA HOUSE,Indian
7866,BHEL KATTA,Street Food
7867,Jazeera Restaurant,North Indian
7868,PURNANAND SNACK CENTER,"Snacks,North Indian"
7869,PRITI VISHAL JAIN,Bakery
7870,"Mom,s Magic kitchen","Indian,South Indian"
7871,DS PUNJAB KULFI SHAKES AND SNACKS,"Beverages,Snacks"
7872,Delit foods And Cack,"Fast Food,Bakery"
7873,Amritsari chole kulche,Punjabi
7874,Tastemaker Cloud Kitchens,"Pizzas,Snacks"
7875,Taste Maker cloud kitchen,"Chinese,North Indian"
7876,Laham Kabab,"North Indian,Snacks"
7877,Kolhapuri Vada Pav Center,Snacks
7878,SUVIDHA MEDICAL STORES,"Ice Cream,Desserts"
7879,Little Greens,"Chinese,Indian"
7880,DADA DOSA,South Indian
7881,Desi Diet Kitchen,"Kebabs,North Indian"
7882,GINGER EXPRESS,"Italian,Fast Food"
7883,Shahi Mughal Darbar,"Mughlai,North Indian"
7884,MATHURA LASSI,"Fast Food,Ice Cream"
7885,Raj Fusion Kitchen,"North Indian,Chinese"
7886,New Royal Chinese Restaurant,"North Indian,Mughlai"
7887,JD'S Shawarma,Arabian
7888,SURABHI NUTRACEUTICALS AND COSMETICS,"Indian,Snacks"
7889,RAJASTHAN FAST FOOD,Chinese
7890,Indian Tawa Spot,"Chinese,Biryani"
7891,Turkish Restaurant,"Arabian,Snacks"
7892,Healthy Bites Cannaught,North Indian
7893,City Juice Center,Beverages
7894,Pizza And Sandwich Centre,"Pizzas,Fast Food"
7895,Dubai Dum Biryani,Biryani
7896,THE AURANGABAD PANTRY,"North Indian,Chinese"
7897,Spice Veg Restaurant,"South Indian,Chinese"
7898,S K Parcel Point,"North Indian,Indian"
7899,SUDAM PURI PURE VEG FAMILY RESTAURANT,Indian
7900,HOTEL AURANGABAD,"Indian,Chinese"
7901,nandadeeps-floating-spirit,North Indian
7902,Tejas Kitchen Pure Veg Family Restaurant,"Indian,North Indian"
7903,RADHE PURE VEG,"Maharashtrian,Punjabi"
7904,Laziz Pizza,"Pizzas,Fast Food"
7905,Blue Cat Cafe,"Indian,North Indian"
7906,Chhabda's Urban Tadka,"North Indian,Punjabi"
7907,Noopur,"Indian,Punjabi"
7908,Sapna momo's,Chinese
7909,Lucky Natural Juice Center,"Beverages,Juices"
7910,BAWARCHI'S  DAWAT BIRYANI,Biryani
7911,IDLI STOP (OSMANPURA),Indian
7912,Mh 20 Dum Biryani House,Biryani
7913,khalsa Dam Biryani Hotel,Indian
7914,Meet N Treat,"Beverages,Fast Food"
7915,Mint Kitchen,"Beverages,Snacks"
7916,PANKAJ,"Snacks,Street Food"
7917,Kareem's,"Indian,Mughlai"
7918,Eggsplore,Indian
7919,Chinese Corner Nirala Bazar,Chinese
7920,Smokin' Joe's,American
7921,Blackstone Cafe & Lounge,Indian
7922,Mewad Restaurant,Indian
7923,Yumwich,"Beverages,Salads"
7924,Om Sai Restaurant,"South Indian,Chinese"
7925,The Food Factory,"North Indian,Indian"
7926,The Hungry Tour,"Chinese,Fast Food"
7927,Laranja Multi Cuisine Restaurant,"Indian,Chinese"
7928,RIYA PURE VEG  RESTAURANT,Indian
7929,Cafe Contento,"Indian,North Indian"
7930,Aaswad Pure Veg,"North Indian,Chinese"
7931,Revelry The Cake House,Bakery
7932,FOOD JUNCTION,"Fast Food,Pizzas"
7933,Maharajas Kitchen,"Biryani,Indian"
7934,MOP- Mad Over Pizza,"Pizzas,Burgers"
7935,Hotel Maithili,"North Indian,Maharashtrian"
7936,The Food Company,"Indian,Snacks"
7937,The Friendly Beans,"Pizzas,Continental"
7938,Pizzzeria,"Pizzas,Fast Food"
7939,The Aroma House,"North Indian,Arabian"
7940,Jashn Restaurant,"North Indian,Tandoor"
7941,Moh Maya Momos,"Snacks,Fast Food"
7942,Enrise by Sayaji,"Indian,Snacks"
7943,Mr. Rollwala,"Indian,Chinese"
7944,Dahiya Momos Hub,"Chinese,Fast Food"
7945,Kohinoor Plaza,"Indian,North Indian"
7946,Makhni Brothers,"North Indian,Kebabs"
7947,The Pizza House,Pizzas
7948,CAFE GLITZ,"Cafe,Beverages"
7949,Insta Pizaa,"Chinese,Italian"
7950,DHOLE AMRUT TULYA,Fast Food
7951,Veggie Paaji Pizza,"Pizzas,Italian"
7952,Cad M Cad B Cafe,"Beverages,Juices"
7953,B Creamy,"Desserts,Ice Cream"
7954,Stavik Tiffin Express,"Indian,Snacks"
7955,Thundai  Thick shakes n more,"Beverages,Fast Food"
7956,SHALIMAR CATERERS CAFE PARADISE,Italian
7957,Dynamite - wrap n rolls,"Pizzas,Fast Food"
7958,Ira's Curry Leaf Multicuisine Restaurant,"Biryani,Chinese"
7959,Bawarchi Dum Biryani & Kabab,Biryani
7960,Sandwich Express,"Chinese,Pizzas"
7961,DATTAGURU FOOD,"Fast Food,Italian"
7962,Healthy Bites,North Indian
7963,Great Burger Bar,"Burgers,Fast Food"
7964,Coffee n cuisines,"Cafe,Beverages"
7965,MBA PIZZA WALA,Pizzas
7966,Mr Sandwichooo,"Fast Food,Pizzas"
7967,SHITAL HIWALE,Bakery
7968,Nature Valley,Chinese
7969,Bread N Butter,Snacks
7970,Shail Restaurant,"Chinese,Indian"
7971,Lalaji's Veg - Non Veg,North Indian
7972,CAFE AND FOOD SPOT,"Indian,North Indian"
7973,Nimantran Veg Restaurant,"North Indian,Chinese"
7974,B Burger Bar,"Burgers,Fast Food"
7975,KHALASA PUNJABI HOTEL,"North Indian,Indian"
7976,Hotel Rana,"Chinese,Maharashtrian"
7977,Fnp Cakes N More,"Bakery,Desserts"
7978,Devpriya Veg Restaurant,"North Indian,Snacks"
7979,Pulav,"Rajasthani,Maharashtrian"
7980,Symphony Cake's & Cafe,"Bakery,Fast Food"
7981,Madhur Mewar,"North Indian,South Indian"
7982,Renu's Poli Bhaji Kendra,Maharashtrian
7983,KHALSA PUNJABI HOTEL,"Punjabi,North Indian"
7984,Cafe Durga,"Fast Food,Street Food"
7985,PUNJABI HOTEL,"North Indian,Biryani"
7986,Idli Stop- Siddharth Garden,"South Indian,Fast Food"
7987,Nishant Park,"North Indian,Chinese"
7988,Arihant Cakes & Cookies,"Desserts,Bakery"
7989,Nirvana Cafe,"Fast Food,Pastas"
7990,Rajranafoods,Bakery
7991,VIP Maratha,"Maharashtrian,North Indian"
7992,Sindh Punjab Fine Dine,"North Indian,Punjabi"
7993,GREAT KABAB JUNCTION,"Chinese,Kebabs"
7994,Naaz Restaurant,"North Indian,Chinese"
7995,Roti & Boti Family Resto,"Indian,Chinese"
7996,Hotel Egg World,"Chaat,Snacks"
7997,Khalsa Punjabi Dhaba,"North Indian,Punjabi"
7998,FEELME CAFE,"Biryani,Snacks"
7999,The Cakes & Bakes,Bakery
8000,The Cake Town,"Indian,Bakery"
8001,Sansar Restaurant,Biryani
8002,Annapurna Sweets,"Sweets,Snacks"
8003,Biryani Mahal,"Biryani,Chinese"
8004,Bawarchi The Restaurant,"Chinese,Indian"
8005,HOUSE OF DELICIOUS,"Chinese,North Indian"
8006,Sansar Cake Shop,"Desserts,Bakery"
8007,The pizza fire,Pizzas
8008,Vrindavan fast food corner,Chinese
8009,Gupta Cake & Pastry,Desserts
8010,Zaika Restaurant,"Indian,Snacks"
8011,Sansar pizza farm,Pizzas
8012,The Pizza Box,Pizzas
8013,Swad Restaurant Hotel Sky view,"Chinese,Indian"
8014,french classical bakery and pastry,Bakery
8015,Aww! Momos,"Chinese,Fast Food"
8016,Honey cake shop,"Bakery,Desserts"
8017,Hotel Vatika Family Restaurant,"North Indian,Tandoor"
8018,Hotel Saraswati Inn (Ice-Cube Restaurant),"Indian,Chinese"
8019,Daily Food Service,"Chinese,Indian"
8020,HOTEL Z SQUARE,Indian
8021,Taste Of Bengal,"Snacks,Combo"
8022,Ram's Pizza & Burger,"Italian,Chinese"
8023,Gandhali Restaurant (Gargee Hotel's),"North Indian,Chinese"
8024,BKC Biryani N Kebab Center,"Indian,Chinese"
8025,Kanhaiya Confectionery,Indian
8026,Hotel Jhari Palace,"Indian,Tandoor"
8027,Galangal Dhaba (Gargee Hotels),"North Indian,Chinese"
8028,Desi Chaat Theka,"Chaat,Fast Food"
8029,AFC (Aurangabad Fried Chicken),"Fast Food,Combo"
8030,THE TEA TREAT,"Fast Food,Beverages"
8031,Brijwasi Pizza,"Italian,Chinese"
8032,Kitchen Rangoli,"Chinese,North Indian"
8033,Lunch Box,"Indian,Chinese"
8034,Gupta Biryani Fast Food,"Chinese,North Indian"
8035,Mrignainy Restaurant,"Indian,Chinese"
8036,The Tasty Kitchen,"Biryani,Indian"
8037,ZAIKA THE FINE DINING RESTAURANT,"Biryani,Indian"
8038,Harsha Kitchen,"North Indian,Chinese"
8039,Petu Ram Restaurant,"Indian,Chinese"
8040,Mughal Darbar,"Arabian,Chinese"
8041,Rolls king,"Chinese,Tandoor"
8042,Biryani House,Indian
8043,Kitchen House,"Chinese,Indian"
8044,@99,"Chinese,Indian"
8045,Chai Samosa Cafe,Fast Food
8046,Rolls Raja,"Snacks,Chinese"
8047,Annapurna Restaurant,North Indian
8048,GOPAL HOTEL,Indian
8049,La Pino'z Pizza,Pizzas
8050,Agrawal Sweets & Confectionery,"Bakery,Desserts"
8051,Maharaja Sweets,"Chinese,Chaat"
8052,Mahaveer Restaurant,"Indian,South Indian"
8053,Moti Mahal Delux,"North Indian,Desserts"
8054,Zaika Biryani,"Biryani,Mughlai"
8055,New Sai Sweets & Bakers,"Bakery,Sweets"
8056,Vishal Momos & Roll Corner,"Chaat,Desserts"
8057,Plating Perfect - A Fine Dine Luxary,"North Indian,South Indian"
8058,Baskin Robbins,"Desserts,Ice Cream"
8059,Tripti Restaurant,"Italian-American,Beverages"
8060,Gupta Bakery,"Bakery,Desserts"
8061,Hotel Maharaja & Lucknawi Darbar Restaurant,"North Indian,Mughlai"
8062,Hotel Green Palace,"North Indian,Thalis"
8063,Online Mutton,"Mughlai,Biryani"
8064,Maharaja Thali Express,"Indian,North Indian"
8065,Grill 2 Chill Cafe Lounge Restaurant,"Italian-American,Chinese"
8066,Desi Jaika Restaurant,"Chinese,Mughlai"
8067,New Famous Bakery,Bakery
8068,Manish Chat Bahar,"Chaat,Combo"
8069,Ujala Restaurant,"North Indian,Chinese"
8070,Hotel Deep Continental,"North Indian,South Indian"
8071,New Pizza Samrat,"Italian-American,Snacks"
8072,Hotel Golden Fortune,"North Indian,Chinese"
8073,Food & Flavour,"North Indian,Combo"
8074,Italiano Pizza,"Italian-American,Chinese"
8075,Tasty Bite Fast Food,"Biryani,Chinese"
8076,Radha Family Restaurant And Lodge,"North Indian,Chinese"
8077,The Chefs Table,"North Indian,Italian-American"
8078,Madhuris Rasoi,"North Indian,Mughlai"
8079,Pizza King,"Italian-American,Combo"
8080,Royal Cafe,Snacks
8081,Samruddhi Pure Veg Restaurant,"Punjabi,Indian"
8082,Hot And Chilli Pizza,"Italian-American,Desserts"
8083,Damino's Pizza,"Pizzas,Italian"
8084,Go69 Pizza,"Italian-American,Combo"
8085,Pizza Express,"Pizzas,Italian"
8086,Shri Sai Hotel & Restaurant,"South Indian,North Indian"
8087,Baithak Cafe & Restro,"Italian-American,Pizzas"
8088,Diwan E Khas -Tarun INN,"North Indian,Snacks"
8089,Hotel Grand S.R,"North Indian,Chinese"
8090,The Old Kalika Hotel [Since 1964],"North Indian,Chinese"
8091,Hasty & Tasty sandwich cafe,Indian
8092,AK FAMILY RESTAURANT,"North Indian,Chinese"
8093,Kalika Hut,Indian
8094,Angithi Punjabi Family Restaurant,"North Indian,Chinese"
8095,Cafe hot kettle,"Beverages,Pizzas"
8096,RAJWADA,"Chinese,Beverages"
8097,La Pino'z Pizza,"Pizzas,Pastas"
8098,Ananda Bhavan,South Indian
8099,Gupta's sweets,"Bakery,Sweets"
8100,Hyderabadi Biryani,"Biryani,North Indian"
8101,CHEEZE BOX,Indian
8102,HOTEL JYOTI,"North Indian,Indian"
8103,New Family Dhaba,"Indian,Chinese"
8104,PUNJABI FOOD PLAZA,Indian
8105,Grover food junction,"Indian,North Indian"
8106,SANWARIYA BAKERS,"Bakery,Snacks"
8107,Husaain Chicken Corner,Indian
8108,Pizza Point & Tandoori Hub,Italian
8109,Cheeze bite,"Chinese,Burgers"
8110,DAWAT-E-PUNJAB,"North Indian,Tandoor"
8111,New Pizza Point,"Pizzas,Tandoor"
8112,Murliwala Sweets & Bakers,Fast Food
8113,Hotel Le Mariet,"Beverages,North Indian"
8114,Delhi Junction,North Indian
8115,JAY DEE'Z HOTEL & RESTURANT,"Thalis,Chinese"
8116,Chai sutta bar,"Beverages,Fast Food"
8117,A-1 Punjabi Food Point,"Punjabi,Tandoor"
8118,FUSION,"Pizzas,Pastas"
8119,Dawat Resturant,"North Indian,Chinese"
8120,Italians Pizzeria,Pizzas
8121,singh Cafe,"Chinese,Burgers"
8122,UNCLE TILLY'S PIZZA,"Italian,Pastas"
8123,Food Story,"Chinese,Beverages"
8124,THE URBAN CANTEEN,North Indian
8125,PIZZA SHUTTLE,"Pizzas,Snacks"
8126,New Pizza Planet,"Beverages,Italian"
8127,Marwar sweets,"North Indian,Indian"
8128,Five Star Chicken,"Chinese,North Indian"
8129,Ansh Food Services,North Indian
8130,Aaryash Pizza Point,"North Indian,Chinese"
8131,Shivaay juice corner,Juices
8132,Baddi Fast Food,"North Indian,Desserts"
8133,THE CAKE BASKET,Bakery
8134,A.T.W.,"Snacks,Chaat"
8135,MEAL BOWL (DOON METRO HOTEL and restaurant),North Indian
8136,PUB G FOOD CITY,Chinese
8137,DESI TADKA,"Indian,Snacks"
8138,Janta Sweets & Resturant,"North Indian,Chinese"
8139,A 1 Vijay Dhaba,"North Indian,Indian"
8140,Murari Dhaba,North Indian
8141,Akuls Cafe,"Beverages,Fast Food"
8142,Khalsa Restaurant,"North Indian,Chinese"
8143,Red Chilly,"North Indian,Indian"
8144,New Vijay Dhaba,North Indian
8145,BABA CHICKEN,"Arabian,Tandoor"
8146,MR SHAWARMA,"Chinese,Indian"
8147,Mohan Murge Wala,"Chinese,North Indian"
8148,MOTHER PIZZA HUB,"Pizzas,Snacks"
8149,Kohinoor Food Services,"North Indian,Chinese"
8150,Tandoori Nights,"Chinese,North Indian"
8151,Roll Xpress,"Chinese,North Indian"
8152,The 19 Restro,North Indian
8153,City Pizza Hub,"Chinese,Pizzas"
8154,Thali Wala,"Thalis,North Indian"
8155,EFFUSION CAMPING SITE,"Indian,North Indian"
8156,Doon Metro Hotel & Restaurant,"Mughlai,North Indian"
8157,Lajawab chicken corner,Indian
8158,Himachal Tea House,"Burgers,Chinese"
8159,Bikaner Bhojanalya,"North Indian,Chinese"
8160,THE SAFFRON,"Chinese,Continental"
8161,BBB Family Dhaba,North Indian
8162,Junyali Multi Cuisine restaurant,"North Indian,Biryani"
8163,Tandoori hub,North Indian
8164,Zaika Multicuisine Restaurant,"North Indian,Tandoor"
8165,HIMACHALI DHAM RASOI,"Indian,North Indian"
8166,SINGH PIZZA POINT,"Pizzas,Continental"
8167,Deep Sweets & Restaurant,"Chinese,North Indian"
8168,The Sassy Spoon,"Afghani,Italian"
8169,Shri Ramdev Sweets,"North Indian,Snacks"
8170,Zaika,"Tandoor,Arabian"
8171,The Beginning Cafe,"Italian,Fast Food"
8172,SURABHI RESTAURANT,"North Indian,South Indian"
8173,PAKWANN Restaurant,"South Indian,Beverages"
8174,THREE IDIOTS CAFE,"Pizzas,Fast Food"
8175,Same Place,"South Indian,North Indian"
8176,THE SAME PLACE VEG AND NON- VEG,"Indian,North Indian"
8177,Vandana Foods,"North Indian,Chinese"
8178,Swami colddrinks,"Beverages,Chinese"
8179,VSR Andhra Restaurant(Navnagar),Indian
8180,Hot Kitchen,Pizzas
8181,WOODDYZ CAFE,"Fast Food,Snacks"
8182,NEW SHETTY LUNCH HOME (VEG AND NON-VEG),"North Indian,Chinese"
8183,Machalii Restaurant,"Seafood,South Indian"
8184,KANCHANA RESTAURANT,"Indian,Chinese"
